Date,d15cm_unified,d45cm_unified,d75cm_unified,temp_inst,temp_med,temp_min,umid_inst,umid_med,umid_min,pto_orvalho_inst,pto_orvalho_med,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_direcao,vento_vel,vento_rajada,radiacao,precipitacao,EToPM
2016-01-06 00:00:00.000,NaN,NaN,NaN,28.1208333333333,34.4,25,71.2083333333333,87,46,22.1625,23.3,20.1,99.9258333333333,1001.3,997,3.65416666666667,110.416666666667,7.2875,19.70706,0.8,6.15306304996696
2016-01-07 00:00:00.000,NaN,NaN,NaN,28.5291666666667,34.4,24.2,54.4583333333333,74,31,17.8666666666667,20.7,14.1,100.230833333333,1004.6,999.5,3.87916666666667,114.958333333333,8.9,21.2776,0,11.5492018225978
2016-01-08 00:00:00.000,NaN,NaN,NaN,28.4375,35.7,25.1,51.25,72,23,16.35,20.2,10.4,100.107083333333,1003.2,998.6,3.57083333333333,132.708333333333,8.78333333333333,23.323322,0,13.3278174282294
2016-01-09 00:00:00.000,NaN,NaN,NaN,28.8083333333333,36.3,25.2,55.5833333333333,73,26,18.2875,20.9,12.9,100.148333333333,1003.7,998.5,5.55,109.75,11.5166666666667,23.16899,0,13.116630530291
2016-01-10 00:00:00.000,NaN,NaN,NaN,28.0041666666667,34.3,24.8,63.2916666666667,78,40,20.0333333333333,21.4,18.1,100.062083333333,1003,998.5,5.4,102.125,10.225,19.66384,0,9.74527587200984
2016-01-11 00:00:00.000,NaN,NaN,NaN,28.9166666666667,36.7,25.3,55.5416666666667,74,25,18.2083333333333,21,12.9,99.8916666666666,1001.1,996.4,6.06666666666667,108.125,11.925,19.58836,0,12.7197340955066
2016-01-12 00:00:00.000,NaN,NaN,NaN,28.8833333333333,35.8,25.4,59.9166666666667,76,33,19.7458333333333,21.3,16.4,99.9733333333333,1001.9,997.6,5.18333333333333,102.5,10.7083333333333,24.71519,0,11.5527308719862
2016-01-13 00:00:00.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN
2016-01-14 00:00:00.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN
2016-01-15 00:00:00.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN
2016-01-16 00:00:00.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN
2016-01-17 00:00:00.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN
2016-01-18 00:00:00.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN
2016-01-19 00:00:00.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN
2016-01-20 00:00:00.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN
2016-01-21 00:00:00.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN
2016-01-22 00:00:00.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN
2016-01-23 00:00:00.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN
2016-01-24 00:00:00.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN
2016-01-25 00:00:00.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN
2016-01-26 00:00:00.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN
2016-01-27 00:00:00.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN
2016-01-28 00:00:00.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN
2016-01-29 00:00:00.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN
2016-01-30 00:00:00.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN
2016-01-31 00:00:00.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN
2016-02-01 00:00:00.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN
2016-02-02 00:00:00.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN
2016-02-03 00:00:00.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN
2016-02-04 00:00:00.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN
2016-02-05 00:00:00.000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,NaN
2016-02-06 00:00:00.000,NaN,NaN,NaN,28.7375,35.2,26,69.4583333333333,81,43,22.3125,23.5,19.6,99.9666666666667,1001.8,997.6,3.90833333333333,102.541666666667,7.97083333333333,21.04765,0,8.96854525368704
2016-02-07 00:00:00.000,NaN,NaN,NaN,28.45,35,24.9,54.8333333333333,72,33,18.0125,20.6,15.3,100.22125,1004,999.8,4.475,108.916666666667,9.4625,19.83204,0,12.619595112165
2016-02-08 00:00:00.000,NaN,NaN,NaN,28.3791666666667,35.8,24.4,52.25,75,26,16.8916666666667,19.9,12.7,100.215,1004,999.9,4.73333333333333,117.625,10.1416666666667,23.226287,0,11.9885348154851
2016-02-09 00:00:00.000,NaN,NaN,NaN,28.7458333333333,36.3,24.7,51.4166666666667,73,23,16.7125,20.5,11.2,100.16875,1003.8,998.9,5.59583333333333,108.166666666667,11.3833333333333,24.1674,0,13.1534567462311
2016-02-10 00:00:00.000,NaN,NaN,NaN,28.3791666666667,35.8,24.8,59.3333333333333,76,30,18.9875,21.3,15.1,99.9316666666667,1001.6,996.6,5.94583333333333,107.583333333333,11.5666666666667,24.44861,0,11.5620465773791
2016-02-11 00:00:00.000,NaN,NaN,NaN,29.1916666666667,37,25.4,52.875,72,28,17.8291666666667,20.7,14.4,99.9483333333334,1001,997,5.6125,111.666666666667,11.5791666666667,25.28836,0,14.1161599632694
