Date,d15cm_unified,d45cm_unified,d75cm_unified,wetness_modulo5,temperature_modulo5,temp_inst,temp_max,temp_min,umid_inst,umid_max,umid_min,pto_orvalho_inst,pto_orvalho_max,pto_orvalho_min,pressao,pressao_max,pressao_min,vento_vel,vento_dir,vento_rajada,radiacao,precipitacao,EToPM
2017-04-25 16:00:00.000,NaN,NaN,NaN,1023,27.6875,31,31.6,29.9,59,64,57,22,23.3,21.5,99.81,998.9,998.1,3.3,116,7.6,3.36,0,1.06676777484537
2017-04-25 17:00:00.000,802.867556177504,895.24055732108,811.561599884502,1023,27.875,31.2,31.7,30.8,58,62,54,21.9,23.1,21,99.75,998.1,997.5,3.6,121,7.6,3.06,0,0.98944534773468
2017-04-25 18:00:00.000,784.004867759195,872.826969144018,807.875222353766,1023,28.0625,31.2,31.4,30.8,58,61,56,21.9,22.6,21.2,99.69,997.5,996.9,3.1,109,6.9,2.286,0,0.553030215106444
2017-04-25 19:00:00.000,765.365761597036,850.390200211096,813.485379904935,1023,28.2678506575689,30,31.3,29.4,68,69,58,23.5,23.6,21.2,99.72,997.2,996.8,4.5,80,8,1.314,0,0.301847180080857
2017-04-25 20:00:00.000,753.377447227626,828.754518000162,808.04158310258,1023,28.4375,28.4,30,28.2,73,75,68,23,23.5,23,99.76,997.6,997.2,2.9,89,6.6,0.2016,0.2,0.0907105750031168
2017-04-25 21:00:00.000,748.66283589703,808.167080078888,800.229788950274,1023,28.625,27.4,28.4,27.4,73,74,72,22.1,22.9,22,99.79,997.9,997.6,3.5,100,6.4,0.04448,0,0.0637737242406371
2017-04-25 22:00:00.000,745.874061463427,791.329224309813,792.233134826061,1023,28.6875,27,27.4,26.9,74,75,73,21.9,22.2,21.9,99.88,998.8,997.9,5.5,101,9.4,-0.00354,0,0.0662059786455374
2017-04-25 23:00:00.000,742.456339869454,777.579955431311,785.101630024321,1023,28.75,26.6,27,26.6,76,76,74,22.1,22.1,21.9,99.96,999.6,998.8,3.9,108,9.4,-0.00354,0,0.0508648361539395
2017-04-26 00:00:00.000,743.06547158572,768.214625999818,781.471801342523,1023,28.8125,26.5,26.7,26.4,77,77,75,22.1,22.1,21.9,100,1000,999.6,2.9,106,6.9,-0.00354,0,0.0410014320842042
2017-04-26 01:00:00.000,739.644894645108,759.234646860918,775.216143552153,1023,28.75,26.5,26.6,26.4,78,78,77,22.4,22.4,22.1,100.01,1000.1,999.9,4.5,104,7.3,-0.00354,0,0.0499673016091136
2017-04-26 02:00:00.000,736.892380253365,751.60366620371,770.672293207506,1023,28.7453591745856,26.3,26.5,26.3,81,81,78,22.7,22.7,22.4,99.97,1000.1,999.7,4.1,109,7.5,-0.00354,0,0.0407851492603802
2017-04-26 03:00:00.000,736.415852133649,747.398590087518,766.114138723865,1023,28.6875,26.3,26.3,26.1,81,82,81,22.8,22.9,22.7,99.92,999.7,999.2,3.7,109,6,-0.00354,0,0.0386045004430579
2017-04-26 04:00:00.000,735.758992710104,741.337810788708,761.176439924956,1023,28.5800070413238,26.3,26.5,26.2,82,82,81,22.9,22.9,22.8,99.85,999.2,998.5,4.1,106,7.9,-0.00354,0,0.0385912953051556
2017-04-26 05:00:00.000,733.539402708539,735.85372039578,758.234044228242,1023,28.5,26.3,26.4,26.1,82,83,81,23,23,22.9,99.81,998.5,998.1,3.7,116,7.5,-0.00354,0,0.0562697963638471
2017-04-26 06:00:00.000,733.542551272576,727.455889289143,751.459511819112,1023,28.4375,26.2,26.3,26.1,82,83,82,22.9,23,22.9,99.8,998.1,997.9,4,115,8.4,-0.00354,0,0.0598768907431899
2017-04-26 07:00:00.000,732.909489588363,723.671669770768,746.584985372275,1023,28.3407309450047,26.1,26.2,26,82,83,82,22.9,23,22.8,99.81,998.2,997.9,3.9,119,7,-0.00353,0,0.0585034695570985
2017-04-26 08:00:00.000,733.709902941253,723.381989885386,744.671294420254,1023,28.25,25.7,26.1,25.7,81,82,81,22.3,22.9,22.2,99.84,998.4,998,3,108,7.6,-0.00354,0,0.0490497883350752
2017-04-26 09:00:00.000,734.264000214345,721.624300911809,740.949771444587,1023,28.1875,26.1,26.1,25.7,80,82,80,22.4,22.4,22.2,99.92,999.2,998.4,2.4,113,5.8,0.02751,0,0.0511844417142523
