module,wm15cm,wm45cm,wm75cm,battery,when
04,555,1304,975,5.216164588928223,25/04/2017 14:12:03.772
04,561,1388,791,5.393413543701172,25/04/2017 15:12:31.686
04,559,1398,784,5.393413543701172,25/04/2017 15:42:33.109
04,555,1398,772,5.367358207702637,25/04/2017 16:12:30.968
04,549,1397,768,5.315995693206787,25/04/2017 16:42:28.020
04,540,1398,761,5.2906813621521,25/04/2017 17:12:24.081
04,535,1395,756,5.315995693206787,25/04/2017 17:42:17.526
04,529,1390,753,5.2906813621521,25/04/2017 18:12:13.140
04,524,1383,748,5.2906813621521,25/04/2017 18:42:06.353
04,517,1377,746,5.2906813621521,25/04/2017 19:11:59.178
04,513,1368,742,5.240769386291504,25/04/2017 19:41:49.806
04,507,1360,736,5.143718242645264,25/04/2017 20:11:31.713
04,508,1350,732,5.1917901039123535,25/04/2017 20:41:09.808
04,510,1339,730,5.216164588928223,25/04/2017 21:10:45.831
04,512,1334,727,5.1917901039123535,25/04/2017 21:40:20.869
04,506,1330,724,5.1917901039123535,25/04/2017 22:09:55.378
04,507,1326,716,5.1917901039123535,25/04/2017 22:39:29.474
04,501,1322,715,5.167642593383789,25/04/2017 23:09:03.599
04,501,1321,711,5.167642593383789,25/04/2017 23:38:37.457
04,502,1313,709,5.167642593383789,26/04/2017 00:08:11.269
04,500,1313,706,5.143718242645264,26/04/2017 00:37:44.513
04,502,1311,704,5.143718242645264,26/04/2017 01:07:17.374
04,498,1307,697,5.143718242645264,26/04/2017 01:36:50.165
04,496,1303,694,5.120014667510986,26/04/2017 02:06:22.702
04,492,1300,690,5.120014667510986,26/04/2017 02:35:55.180
04,494,1304,688,5.120014667510986,26/04/2017 03:05:27.545
04,493,1302,686,5.096528053283691,26/04/2017 03:34:59.832
04,498,1300,682,5.096528053283691,26/04/2017 04:04:32.193
04,492,1292,679,5.096528053283691,26/04/2017 04:34:04.726
04,498,1291,677,5.073256015777588,26/04/2017 05:03:37.088
04,498,1270,672,5.073256015777588,26/04/2017 05:33:09.455
04,499,1265,667,5.073256015777588,26/04/2017 06:02:41.856
04,504,1262,665,5.073256015777588,26/04/2017 06:32:14.062
04,507,1263,660,5.050196170806885,26/04/2017 07:01:45.982
04,502,1272,660,5.050196170806885,26/04/2017 07:31:17.718
04,502,1271,655,5.050196170806885,26/04/2017 08:00:49.199
04,503,1272,653,5.050196170806885,26/04/2017 08:30:20.448
04,506,1272,648,5.027344703674316,26/04/2017 08:59:52.078
04,506,1295,643,5.027344703674316,26/04/2017 09:29:25.124
04,463,1297,641,5.050196170806885,26/04/2017 09:59:03.769
04,454,1297,636,5.050196170806885,26/04/2017 10:28:45.771
04,451,1292,633,5.050196170806885,26/04/2017 10:58:29.965
04,445,1291,629,5.073256015777588,26/04/2017 11:28:19.162
04,437,1287,624,5.073256015777588,26/04/2017 11:58:06.613
04,436,1290,623,5.073256015777588,26/04/2017 12:27:54.696
04,432,1286,623,5.096528053283691,26/04/2017 12:57:45.560
04,433,1281,617,5.096528053283691,26/04/2017 13:27:37.269
04,434,1279,615,5.120014667510986,26/04/2017 13:57:36.724
04,430,1279,617,5.120014667510986,26/04/2017 14:27:38.097
04,427,1273,615,5.120014667510986,26/04/2017 14:57:38.161
04,430,1266,612,5.120014667510986,26/04/2017 15:27:37.043
04,427,1262,608,5.096528053283691,26/04/2017 15:57:34.119
04,428,1255,606,5.096528053283691,26/04/2017 16:27:25.233
04,432,1248,604,5.073256015777588,26/04/2017 16:57:12.302
04,438,1249,605,5.073256015777588,26/04/2017 17:27:00.784
04,440,1242,602,5.073256015777588,26/04/2017 17:56:55.476
04,441,1233,598,5.050196170806885,26/04/2017 18:26:42.392
04,446,1226,594,5.027344703674316,26/04/2017 18:56:22.463
04,449,1226,592,5.027344703674316,26/04/2017 19:26:01.889
04,455,1222,588,5.004698753356934,26/04/2017 19:55:40.346
04,462,1217,591,4.982255935668945,26/04/2017 20:25:16.966
04,469,1210,589,4.982255935668945,26/04/2017 20:54:52.058
04,476,1204,586,4.960014343261719,26/04/2017 21:24:26.379
04,481,1199,587,4.93796968460083,26/04/2017 21:54:00.135
04,486,1194,585,4.93796968460083,26/04/2017 22:23:33.298
04,492,1195,583,4.93796968460083,26/04/2017 22:53:06.240
04,497,1187,581,4.9161200523376465,26/04/2017 23:22:39.173
04,531,1132,567,4.591087341308594,27/04/2017 12:22:50.471
04,550,1111,572,4.687945365905762,27/04/2017 12:52:57.616
04,553,1140,566,4.727842807769775,27/04/2017 13:22:54.643
04,546,1136,557,4.748047828674316,27/04/2017 13:52:54.325
04,800,1140,623,4.480012893676758,27/04/2017 15:18:17.093
04,779,1141,626,4.145683288574219,27/04/2017 15:18:40.905
04,756,1007,1438,3.1296989917755127,01/05/2017 02:49:37.745
04,756,1006,1412,3.086230993270874,01/05/2017 03:18:52.787
04,773,1003,1389,3.094827651977539,01/05/2017 03:48:07.341
04,770,1007,1368,3.07768177986145,01/05/2017 04:17:21.608
04,788,1006,1343,3.07768177986145,01/05/2017 04:46:35.754
04,790,1003,1324,3.060724973678589,01/05/2017 05:15:49.863
04,793,1009,1308,3.0356369018554688,01/05/2017 05:45:03.550
04,806,1004,1291,3.0356369018554688,01/05/2017 06:14:16.735
04,851,1002,1273,3.0439536571502686,01/05/2017 06:43:30.220
04,866,1005,1256,3.0109570026397705,01/05/2017 07:12:43.162
04,886,999,1237,3.0356369018554688,01/05/2017 07:41:55.615
04,904,1001,1228,3.002819299697876,01/05/2017 08:11:07.913
